Cust_Id,Calendar_Dt,Amt_LE
15154367,2019-11-03,0.01
186909963,2019-11-04,0.03
53921841,2019-11-02,0.01
7272212,2019-11-03,16.22
175659916,2019-11-03,36.17
2728318,2019-11-03,2.88
6585881,2019-11-03,428.93
40108528,2019-11-06,19.66
98609726,2019-11-01,166.10
35468079,2019-11-07,0.00
100431704,2019-11-03,28.45
7371276,2019-11-03,5.78
74234859,2019-11-03,234.42
141584830,2019-11-01,0.00
160737180,2019-11-03,523.05
141633017,2019-11-03,3.00
115168344,2019-11-04,42.20
51162731,2019-11-03,446.36
127421572,2019-11-07,433.82
138532770,2019-11-08,0.00
119532971,2019-11-06,12.83
10430821,2019-11-06,72.20
143364190,2019-11-03,151.17
5793430,2019-11-02,31.08
178057640,2019-11-01,0.00
186892078,2019-11-02,390.41
150594844,2019-11-03,0.00
8690430,2019-11-01,48.15
184629655,2019-11-04,331.39
180000115,2019-11-05,1.28
183602187,2019-11-03,2.25
187132031,2019-11-01,0.49
27315200,2019-11-03,64.30
120503057,2019-11-05,0.01
179494008,2019-11-03,46.56
157831553,2019-11-03,93.94
161033516,2019-11-03,91.11
171362867,2019-11-03,183.40
175129522,2019-11-07,3.06
134353749,2019-11-03,1.08
178740383,2019-11-01,0.01
31368586,2019-11-03,128.99
182897014,2019-11-05,0.64
152942669,2019-11-03,50.04
133938426,2019-11-03,0.01
33400602,2019-11-05,0.00
176125342,2019-11-03,0.39
179698456,2019-11-08,7.32
95447222,2019-11-03,260.41
181156644,2019-11-03,137.06
187031173,2019-11-03,18.69
186602453,2019-11-03,1046.19
182171775,2019-11-03,70.63
64931447,2019-11-03,6.17
4316116,2019-11-05,0.20
124376057,2019-11-03,83.22
180957374,2019-11-06,0.64
187490277,2019-11-06,207.85
180282705,2019-11-03,0.39
31092581,2019-11-01,63.13
126430320,2019-11-03,34.14
166937960,2019-11-06,168.78
99913403,2019-11-03,35.06
54667228,2019-11-03,0.52
182568704,2019-11-02,124.88
86731302,2019-11-03,69.53
122122217,2019-11-02,64.38
82173460,2019-11-03,0.05
63210510,2019-11-01,1.92
42136466,2019-11-03,57.12
61187651,2019-11-04,0.64
187170348,2019-11-08,0.01
138033555,2019-11-07,10.66
179918507,2019-11-01,44.01
187583305,2019-11-01,0.00
186844015,2019-11-06,76.37
185838775,2019-11-03,0.07
135381747,2019-11-03,62.61
9947777,2019-11-07,294.92
141526468,2019-11-01,0.00
179054827,2019-11-06,84.94
173117124,2019-11-03,0.00
187243453,2019-11-03,27.25
138937550,2019-11-03,0.15
186812468,2019-11-01,44.32
51785440,2019-11-03,83.91
135644231,2019-11-07,0.08
186952478,2019-11-03,245.12
